/data/zzy_data/nndl/hw3/q3/q3.py:77: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  d = pickle.load(f, encoding="bytes")
train=(50000, 3, 32, 32) test=(10000, 3, 32, 32) device=cuda:0
共享编码器参数量 = 2,691,264  表示维度 = 192
[ae] epoch 1/50  train_loss=0.0466
[ae] epoch 5/50  train_loss=0.0229
[ae] epoch 10/50  train_loss=0.0015
[ae] epoch 15/50  train_loss=0.0007
[ae] epoch 20/50  train_loss=0.0019
[ae] epoch 25/50  train_loss=0.0006
[ae] epoch 30/50  train_loss=0.0003
[ae] epoch 35/50  train_loss=0.0002
[ae] epoch 40/50  train_loss=0.0002
[ae] epoch 45/50  train_loss=0.0001
[ae] epoch 50/50  train_loss=0.0001
[ae] 测试集重构 MSE（标准化空间，全部块）= 0.0001
