/data/zzy_data/nndl/hw3/q3/q3.py:77: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  d = pickle.load(f, encoding="bytes")
train=(50000, 3, 32, 32) test=(10000, 3, 32, 32) device=cuda:2
共享编码器参数量 = 2,691,264  表示维度 = 192
[mae] epoch 1/80  train_loss=0.6354
[mae] epoch 5/80  train_loss=0.3561
[mae] epoch 10/80  train_loss=0.3166
[mae] epoch 15/80  train_loss=0.3047
[mae] epoch 20/80  train_loss=0.2981
[mae] epoch 25/80  train_loss=0.2932
[mae] epoch 30/80  train_loss=0.2884
[mae] epoch 35/80  train_loss=0.2845
[mae] epoch 40/80  train_loss=0.2816
[mae] epoch 45/80  train_loss=0.2762
[mae] epoch 50/80  train_loss=0.2735
[mae] epoch 55/80  train_loss=0.2704
[mae] epoch 60/80  train_loss=0.2674
[mae] epoch 65/80  train_loss=0.2651
[mae] epoch 70/80  train_loss=0.2630
[mae] epoch 75/80  train_loss=0.2614
[mae] epoch 80/80  train_loss=0.2621
[mae] 测试集重构 MSE（标准化空间，仅遮蔽块）= 0.2646
