/data/zzy_data/nndl/hw3/q3/q3.py:77: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  d = pickle.load(f, encoding="bytes")
train=(50000, 3, 32, 32) test=(10000, 3, 32, 32) device=cuda:1
共享编码器参数量 = 2,691,264  表示维度 = 192
[rot] epoch 1/40  loss=548.3 train_acc=0.2496
[rot] epoch 5/40  loss=513.5 train_acc=0.3665
[rot] epoch 10/40  loss=494.2 train_acc=0.4105
[rot] epoch 15/40  loss=495.0 train_acc=0.4069
[rot] epoch 20/40  loss=464.0 train_acc=0.4593
[rot] epoch 25/40  loss=427.8 train_acc=0.5192
[rot] epoch 30/40  loss=409.0 train_acc=0.5451
[rot] epoch 35/40  loss=395.8 train_acc=0.5657
[rot] epoch 40/40  loss=390.6 train_acc=0.5743
[rot] 测试集旋转预测准确率 = 0.5614
